episodio,fecha_emision,guion,arte,animacion,direccion,tv_rating,rank,n de paginas,rating_imdb,votes_imdb,puntuacion_MAL,votos_MAL
15,"['February 23, 2000']",['Junki Takegami'],['Yuri Sanami'],['Masayuki Takagi'],['Kōnosuke Uda'],14.4 ,6 ,53.0,7.4,3365.0,8.2,786
16,"['March 1, 2000']",['Junki Takegami'],['Kunihiro Chida'],['Noboru Koizumi'],['Munehisa Sakai'],13.9 ,8 ,28.0,7.6,3345.0,8.4,684
17,"['March 8, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Yuji Hakamada'],['Hidehiko Kadota'],14.1 ,9 ,39.0,8.1,3612.0,8.6,874
18,"['March 15, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Tadayoshi Yamamuro'],['Junichi Fujise'],12.2 ,9 ,30.0,6.7,3376.0,8.0,749
19,"['March 22, 2000']",['Junki Takegami'],['Makoto Suwada'],['Eisaku Inoue'],['Kōnosuke Uda'],14.3 ,4 ,13.0,8.9,5951.0,8.8,781
20,"['April 12, 2000']",['Junki Takegami'],['Yuri Sanami'],['Kenji Yokoyama'],['Yukio Kaizawa'],15.4 (One,3 ,24.0,7.6,3246.0,8.4,821
21,"['April 12, 2000']",['Junki Takegami'],['Kunihiro Chida'],['Masayuki Takagi'],['Hidehiko Kadota'],15.4 ,3 ,34.0,7.6,3113.0,8.4,593
22,"['April 26, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Kazuya Hisada'],['Yoko Ikeda'],12.2 ,8 ,34.0,7.5,3029.0,8.4,623
23,"['May 3, 2000']",['Junki Takegami'],['Miyuki Sato'],['Noboru Koizumi'],['Munehisa Sakai'],10.6 ,N/A ,33.0,7.8,3207.0,8.4,595
24,"['May 10, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Yuji Hakamada'],['Hidehiko Kadota'],11.9 ,8 ,37.0,9.2,7120.0,9.2,728
25,"['May 17, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Takeo Ide'],['Yuji Endo'],13.7 ,5 ,52.0,7.5,2999.0,8.4,643
26,"['May 24, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Eisaku Inoue'],['Munehisa Sakai'],13.1 ,7 ,60.0,8.8,4642.0,9.0,632
27,"['May 31, 2000']",['Junki Takegami'],['Miyuki Sato'],['Kenji Yokoyama'],['Kōnosuke Uda'],14.2 ,3 ,41.0,7.5,2930.0,8.6,496
28,"['June 7, 2000']",['Junki Takegami'],['Yuri Sanami'],['Masayuki Takagi'],['Junji Shimizu'],12.1 ,9 ,36.0,7.7,2894.0,8.6,511
29,"['June 21, 2000']",['Junki Takegami'],['Iwamitsu Itō'],['Kazuya Hisada'],['Junichi Fujise'],10.6 ,10 ,38.0,7.9,3068.0,8.6,547
30,"['June 28, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Noboru Koizumi'],['Hidehiko Kadota'],13.2 ,6 ,29.0,8.4,3890.0,8.8,925
31,"['July 12, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Yuji Hakamada'],['Yuji Endo'],11.5 ,8 ,24.0,7.6,2800.0,8.4,592
32,"['July 19, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Takeo Ide'],['Munehisa Sakai'],13.1 ,2 ,33.0,7.7,2751.0,8.6,500
33,"['July 19, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Eisaku Inoue'],['Yukio Kaizawa'],13.1 ,2 ,25.0,7.8,2870.0,8.4,485
34,"['July 26, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Junji Shimizu'],12.7 ,5 ,29.0,7.4,2846.0,8.6,496
35,"['August 2, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Masayuki Takagi'],['Hidehiko Kadota'],11.5 ,6 ,16.0,8.2,3275.0,8.8,533
36,"['August 9, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Kazuya Hisada'],['Kōnosuke Uda'],12.2 ,5 ,24.0,9.0,5452.0,9.0,511
37,"['August 16, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Hideaki Naniwa'],['Junichi Fujise'],11.4 ,5 ,26.0,9.3,7307.0,9.4,667
38,"['August 23, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Yuji Hakamada'],['Yuji Endo'],13.6 ,3 ,34.0,8.2,3295.0,8.6,487
39,"['June 30, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Kenji Yokoyama'],['Junji Shimizu'],14.4 ,5 ,38.0,8.0,3056.0,8.6,421
40,"['September 6, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Tadayoshi Yamamuro'],['Yoko Ikeda'],13.6 ,8 ,38.0,8.0,2997.0,8.6,613
41,"['September 13, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Eisaku Inoue'],['Munehisa Sakai'],13.6 ,4 ,30.0,8.1,2958.0,8.6,471
42,"['September 27, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Masayuki Takagi'],['Hidehiko Kadota'],15.0 ,2 ,42.0,8.0,2927.0,8.8,447
43,"['September 27, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Kazuya Hisada'],['Junji Shimizu'],15.0 ,2 ,35.0,8.7,4055.0,9.0,591
44,"['October 11, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Yuji Hakamada'],['Kōnosuke Uda'],13.2 ,5 ,17.0,7.9,2948.0,9.0,637
45,"['October 25, 2000']",['Junki Takegami'],['Kunihiro Chida'],['Hideaki Naniwa'],['Yoko Ikeda'],13.6 ,6 ,8.0,7.7,2882.0,8.8,612
46,"['November 1, 2000']",['Junki Takegami'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Munehisa Sakai'],14.4,6,13.0,6.3,2710.0,7.8,551
47,"['November 8, 2000']",['Junki Takegami'],['Miyuki Sato'],['Kazuo Takigawa'],['Hidehiko Kadota'],13.5,8,17.0,6.1,2687.0,7.8,514
48,"['November 22, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Eisaku Inoue'],['Junichi Fujise'],15.7 ,8 ,5.0,7.9,2949.0,8.8,503
49,"['November 22, 2000']",['Michiru Shimada'],['Kunihiro Chida'],['Tadayoshi Yamamuro'],['Yoshihiro Ueda'],15.7 ,5 ,14.0,8.0,3169.0,8.8,423
50,"['November 29, 2000']",['Michiru Shimada'],['Tomoko Yoshida'],['Masayuki Takagi'],['Katsumi Tokoro'],15.2,5,0.0,7.4,2745.0,8.4,606
51,"['December 6, 2000']",['Michiru Shimada'],['Miyuki Sato'],['Kazuya Hisada'],['Munehisa Sakai'],14.0,6,1.0,6.9,2361.0,8.2,488
52,"['December 13, 2000']",['Michiru Shimada'],['Yuri Sanami'],['Yuji Hakamada'],['Hidehiko Kadota'],14.7 ,5 ,34.0,8.3,2864.0,8.6,536
53,"['January 10, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Hideaki Naniwa'],['Ken Koyama'],14.1 ,6 ,20.0,8.5,3331.0,8.8,593
54,"['January 17, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Kōnosuke Uda'],14.1,8,0.0,7.0,1927.0,8.2,385
55,"['January 24, 2001']",['Junki Takegami'],['Miyuki Sato'],['Masayuki Takagi'],['Harume Kosaka'],15.3,7,5.0,6.7,1898.0,8.0,409
56,"['January 31, 2001']",['Junki Takegami'],['Yuri Sanami'],['Kazuya Hisada'],['Hidehiko Kadota'],14.7,6,0.0,6.6,1847.0,8.2,391
57,"['February 7, 2001']",['Junki Takegami'],['Kunihiro Chida'],['Kazuo Takigawa'],['Yoko Ikeda'],14.6,8,0.0,6.5,1825.0,8.0,374
58,"['February 21, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Tadayoshi Yamamuro'],['Munehisa Sakai'],16.6,5,0.0,6.6,1799.0,8.2,344
59,"['February 21, 2001']",['Junki Takegami'],['Miyuki Sato'],['Yuji Hakamada'],['Junichi Fujise'],16.6,5,0.0,6.8,1802.0,8.2,343
60,"['February 28, 2001']",['Junki Takegami'],['Yuri Sanami'],['Hideaki Naniwa'],['Yoshihiro Ueda'],16.3,4,0.0,7.0,1801.0,8.0,510
61,"['March 7, 2001']",['Junki Takegami'],['Kunihiro Chida'],['Kenji Yokoyama'],['Hidehiko Kadota'],16.0,4,2.0,7.5,2017.0,8.6,587
62,"['March 21, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Masayuki Takagi'],['Kōnosuke Uda'],13.7,6,34.0,7.5,2154.0,8.4,554
63,"['March 21, 2001']",['Michiru Shimada'],['Shōichirō Sugiura'],['Kazuya Hisada'],['Harume Kosaka'],13.7,6,34.0,7.5,2130.0,8.6,511
64,"['April 15, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Kazuo Takigawa'],['Yoko Ikeda'],17.2,2,27.0,7.6,2046.0,8.6,464
65,"['April 15, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Tadayoshi Yamamuro'],['Yoshihiro Ueda'],17.2,2,51.0,8.2,2270.0,8.8,475
66,"['April 22, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Yuji Hakamada'],['Hidehiko Kadota'],14.1,6,36.0,8.0,2186.0,8.4,439
67,"['April 29, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Hideaki Naniwa'],['Kōnosuke Uda'],15.0,4,34.0,7.9,2170.0,8.8,482
68,"['May 13, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Kenji Yokoyama'],['Harume Kosaka'],14.6,3,25.0,6.6,1993.0,8.0,427
69,"['May 20, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Masayuki Takagi'],['Munehisa Sakai'],15.8,3,5.0,6.8,1996.0,8.4,440
70,"['May 27, 2001']",['Junki Takegami'],['Shōichirō Sugiura'],['Kazuya Hisada'],['Yuji Endo'],13.1,6,19.0,7.1,1973.0,8.4,538
71,"['June 3, 2001']",['Junki Takegami'],['Fumihiro Uchikawa'],['Takeo Ide'],['Hidehiko Kadota'],14.7,3,23.0,7.3,1983.0,8.4,439
72,"['June 17, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Eisaku Inoue'],['Yoko Ikeda'],12.5,8,21.0,7.2,1935.0,8.4,452
73,"['June 24, 2001']",['Junki Takegami'],['Kunihiro Chida'],['Yuji Hakamada'],['Yoshihiro Ueda'],15.3,4,34.0,7.4,1929.0,8.4,408
74,"['July 15, 2001']",['Junki Takegami'],['Yuri Sanami'],['Hideaki Naniwa'],['Kōnosuke Uda'],15.6,3,34.0,7.6,1958.0,8.4,411
75,"['August 12, 2001']",['Junki Takegami'],['Miyuki Sato'],['Kenji Yokoyama'],['Junichi Fujise'],12.8,6,31.0,7.5,1920.0,8.2,453
76,"['August 19, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Masayuki Takagi'],['Harume Kosaka'],14.9,2,36.0,7.6,1913.0,8.4,408
77,"['August 19, 2001']",['Junki Takegami'],['Fumihiro Uchikawa'],['Kazuya Hisada'],['Yuji Endo'],14.9,2,37.0,7.5,1930.0,8.6,464
78,"['August 26, 2001']",['Junki Takegami'],['Yuri Sanami'],['Noboru Koizumi'],['Yoshihiro Ueda'],15.6,3,12.0,7.2,1917.0,8.2,419
79,"['September 2, 2001']",['Junki Takegami'],['Miyuki Sato'],['Eisaku Inoue'],['Junji Shimizu'],13.1,5,49.0,7.5,1875.0,8.6,389
80,"['September 9, 2001']",['Michiru Shimada'],['Shōichirō Sugiura'],['Yuji Hakamada'],['Munehisa Sakai'],16.1,4,15.0,7.6,1888.0,8.4,499
81,"['September 16, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Hideaki Naniwa'],['Kōnosuke Uda'],15.5,5,24.0,7.5,1850.0,8.6,412
82,"['October 7, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Kenji Yokoyama'],['Harume Kosaka'],13.5,2,36.0,7.5,1858.0,8.6,380
83,"['October 7, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Masayuki Takagi'],['Hidehiko Kadota'],13.5,2,27.0,8.1,2401.0,8.8,412
84,"['October 21, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Kazuya Hisada'],['Daisuke Nishio'],14.5,6,22.0,7.9,2019.0,9.2,405
85,"['October 28, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Noboru Koizumi'],['Yoshihiro Ueda'],15.2,5,17.0,8.5,2836.0,9.0,407
86,"['November 4, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Eisaku Inoue'],['Kōnosuke Uda'],16.0,6,43.0,9.4,5547.0,9.4,589
87,"['November 11, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Takeo Ide'],['Junji Shimizu'],14.8,6,29.0,8.1,2266.0,8.8,380
88,"['November 18, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Hideaki Naniwa'],['Hidehiko Kadota'],15.3,5,23.0,7.8,1905.0,8.8,403
89,"['November 25, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Junichi Fujise'],15.8,4,36.0,7.8,1880.0,8.8,439
90,"['December 2, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Masayuki Takagi'],['Munehisa Sakai'],15.6,3,26.0,8.9,3767.0,9.0,703
91,"['December 9, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Kazuya Hisada'],['Harume Kosaka'],16.3,3,25.0,7.9,1943.0,8.8,566
92,"['December 9, 2001']",['Junki Takegami'],['Fumihiro Uchikawa'],['Noboru Koizumi'],['Yuji Endo'],16.3,3,36.0,7.6,1845.0,8.6,456
93,"['December 16, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Eisaku Inoue'],['Kōnosuke Uda'],14.3,4,1.0,7.2,1827.0,8.6,412
94,"['December 23, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Takeo Ide'],['Junji Shimizu'],14.0,4,14.0,8.9,4187.0,9.0,456
95,"['January 6, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Hideaki Naniwa'],['Hidehiko Kadota'],19.1,1,2.0,8.2,2111.0,9.0,515
96,"['January 13, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Makoto Suwada']",['Kenji Yokoyama'],['Yoko Ikeda'],15.6,3,17.0,7.3,1820.0,8.4,393
97,"['January 20, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kazuya Hisada'],['Harume Kosaka'],14.6,4,12.0,7.2,1773.0,8.4,382
98,"['January 27, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Daisuke Nishio'],15.7,6,1.0,6.8,1643.0,8.2,403
99,"['February 3, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Makoto Suwada']",['Eisaku Inoue'],['Munehisa Sakai'],16.7,5,0.0,6.8,1602.0,8.2,401
100,"['February 10, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Takeo Ide'],['Yuji Endo'],13.6,5,23.0,7.4,1805.0,8.0,1609
101,"['February 17, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Hidehiko Kadota'],13.9,7,1.0,6.7,1615.0,8.0,674
102,"['February 24, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Makoto Suwada']",['Hideaki Naniwa'],['Kōnosuke Uda'],16.4,3,0.0,7.0,1519.0,8.2,617
103,"['March 3, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Masayuki Takagi'],['Harume Kosaka'],15.2,2,16.0,7.2,1626.0,8.4,702
104,"['March 10, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Eisaku Inoue'],['Ken Koyama'],13.8,8,31.0,7.9,1778.0,8.4,651
105,"['March 17, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Makoto Suwada']","['Naoki Tate', 'Masahiro Shimanuki']",['Yuji Endo'],14.3,5,34.0,7.7,1613.0,8.4,649
106,"['March 24, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Takeo Ide'],['Hidehiko Kadota'],14.2,6,34.0,8.1,1698.0,8.2,628
107,"['April 14, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Kōnosuke Uda'],14.3,4,32.0,8.1,1684.0,8.2,812
108,"['April 21, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Makoto Suwada']",['Hideaki Naniwa'],['Harume Kosaka'],14.6,5,35.0,8.2,1717.0,8.4,700
109,"['April 28, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Masayuki Takagi'],['Daisuke Nishio'],14.4,5,29.0,8.4,2241.0,8.4,682
110,"['May 5, 2002']",['Junki Takegami'],['Yuri Sanami'],['Eisaku Inoue'],['Yuji Endo'],11.4,4,38.0,9.2,4305.0,8.4,940
111,"['May 12, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Natsuko Makiyo'],['Junichi Fujise'],13.7,6,32.0,7.8,1641.0,8.4,806
112,"['May 19, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']","['Naoki Tate', 'Masahiro Shimanuki']",['Munehisa Sakai'],14.4,4,34.0,8.1,1714.0,8.2,836
113,"['June 2, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Hidehiko Kadota'],13.4,3,28.0,7.7,1605.0,8.4,527
114,"['June 9, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Noboru Koizumi'],['Kōji Tanaka'],16.0,3,24.0,7.8,1683.0,8.2,488
115,"['June 16, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Harume Kosaka'],11.3,6,31.0,8.0,1762.0,8.2,635
116,"['June 23, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Kunihiro Chida']",['Kenji Yokoyama'],['Ken Koyama'],13.6,3,40.0,7.9,1673.0,8.6,363
117,"['June 30, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Hideaki Naniwa'],['Yoko Ikeda'],11.7,6,29.0,7.8,1692.0,8.6,343
118,"['July 14, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Yuji Endo'],14.1,3,23.0,7.7,1605.0,8.6,321
119,"['July 21, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Toshiaki Marumori']",['Eisaku Inoue'],['Munehisa Sakai'],12.6,5,35.0,9.2,4493.0,9.0,431
120,"['August 4, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Hidehiko Kadota'],13.3,4,34.0,7.9,1668.0,8.6,412
121,"['August 11, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Natsuko Makiyo'],['Harume Kosaka'],11.2,7,33.0,8.4,2146.0,8.8,333
122,"['August 18, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Toshiaki Marumori']",['Takeo Ide'],['Junichi Fujise'],12.9,3,33.0,8.8,3004.0,8.8,360
123,"['August 25, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kenji Yokoyama'],['Junji Shimizu'],12.4,6,34.0,8.2,1751.0,8.8,326
124,"['September 1, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takayuki Shimura'],['Yuji Endo'],11.5,8,34.0,8.1,1692.0,8.6,297
125,"['September 8, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Toshiaki Marumori']",['Hideaki Naniwa'],['Hidehiko Kadota'],13.4,3,37.0,9.0,3663.0,9.2,406
126,"['September 15, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Kunihiro Chida']",['Eisaku Inoue'],['Munehisa Sakai'],13.2,5,35.0,9.5,6741.0,9.4,546
127,"['October 6, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Harume Kosaka'],14.1,3,34.0,8.2,1707.0,9.2,385
128,"['October 6, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Toshiaki Marumori']",['Noboru Koizumi'],['Junji Shimizu'],14.1,3,38.0,8.0,1702.0,9.0,365
129,"['October 20, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kazuya Hisada'],['Daisuke Nishio'],12.6,5,34.0,9.2,4329.0,9.4,485
130,"['October 27, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takayuki Shimura'],['Yoko Ikeda'],13.8,3,28.0,8.6,2632.0,9.0,581
131,"['November 3, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Toshiaki Marumori']",['Kenji Yokoyama'],['Yuji Endo'],11.6,8,0.0,7.0,1326.0,8.6,320
132,"['November 10, 2002']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Kunihiro Chida']",['Takeo Ide'],['Harume Kosaka'],13.5,5,0.0,6.5,1309.0,8.4,252
133,"['November 17, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Hidehiko Kadota'],14.2,4,0.0,6.7,1271.0,8.4,270
134,"['November 24, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Toshiaki Marumori']",['Hideaki Naniwa'],['Munehisa Sakai'],12.8,4,0.0,6.7,1267.0,8.6,268
135,"['December 1, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Naoki Tate'],['Junji Shimizu'],11.8,8,0.0,6.8,1232.0,8.4,301
136,"['December 8, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kazuya Hisada'],['Junichi Fujise'],13.8,4,0.0,6.5,1250.0,8.2,249
137,"['December 15, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Hiromitsu Shiozaki']",['Kenji Yokoyama'],['Yuji Endo'],12.4,5,0.0,6.6,1239.0,8.2,223
138,"['December 22, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Takeo Ide'],['Yoko Ikeda'],12.1,4,0.0,6.5,1237.0,8.4,232
139,"['January 5, 2003']",['Ryōta Yamaguchi'],['Tomoko Yoshida'],['Masayuki Takagi'],['Hidehiko Kadota'],16.2,1,0.0,6.7,1227.0,8.2,216
140,"['January 12, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Hideaki Naniwa'],['Munehisa Sakai'],10.7,4,0.0,6.7,1214.0,8.2,262
141,"['January 19, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Naoki Tate'],['Ken Koyama'],13.3,5,0.0,6.6,1199.0,8.2,206
142,"['January 26, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Makoto Suwada']",['Kazuya Hisada'],['Yuji Endo'],14.0,5,0.0,6.6,1199.0,7.8,218
143,"['February 2, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Toshiaki Marumori']",['Kenji Yokoyama'],['Junichi Fujise'],14.3,5,3.0,7.3,1217.0,8.4,287
144,"['February 9, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Hidehiko Kadota'],13.9,4,36.0,7.2,1477.0,8.4,382
145,"['February 16, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Masayuki Takagi'],['Hiroyuki Kakudō'],13.6,4,28.0,7.5,1537.0,8.6,348
146,"['February 23, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Toshiaki Marumori']",['Hideaki Naniwa'],['Yoko Ikeda'],19.1,1,45.0,8.1,1738.0,8.8,340
147,"['March 9, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Naoki Tate'],['Junichi Fujise'],13.8,5,33.0,7.7,1592.0,8.6,328
148,"['March 16, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Junji Shimizu'],11.9,7,34.0,7.5,1462.0,8.8,313
149,"['March 23, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Yūki Kinoshita'],['Yuji Endo'],14.1,4,17.0,7.4,1423.0,8.6,292
150,"['April 13, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kenji Yokoyama'],['Hidehiko Kadota'],13.4,6,25.0,8.1,1583.0,8.8,467
151,"['April 20, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Ken Koyama'],14.2,5,29.0,9.3,5111.0,9.6,557
