episodio,fecha_emision,guion,arte,animacion,direccion,tv_rating,rank,n de paginas,votos,rating
74,"['July 15, 2001']",['Junki Takegami'],['Yuri Sanami'],['Hideaki Naniwa'],['Kōnosuke Uda'],15.6,3,34.0,2369.0,7.74
75,"['August 12, 2001']",['Junki Takegami'],['Miyuki Sato'],['Kenji Yokoyama'],['Junichi Fujise'],12.8,6,31.0,2373.0,7.63
76,"['August 19, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Masayuki Takagi'],['Harume Kosaka'],14.9,2,36.0,2321.0,7.74
77,"['August 19, 2001']",['Junki Takegami'],['Fumihiro Uchikawa'],['Kazuya Hisada'],['Yuji Endo'],14.9,2,37.0,2394.0,7.71
78,"['August 26, 2001']",['Junki Takegami'],['Yuri Sanami'],['Noboru Koizumi'],['Yoshihiro Ueda'],15.6,3,12.0,2336.0,7.38
79,"['September 2, 2001']",['Junki Takegami'],['Miyuki Sato'],['Eisaku Inoue'],['Junji Shimizu'],13.1,5,49.0,2264.0,7.69
80,"['September 9, 2001']",['Michiru Shimada'],['Shōichirō Sugiura'],['Yuji Hakamada'],['Munehisa Sakai'],16.1,4,15.0,2387.0,7.77
81,"['September 16, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Hideaki Naniwa'],['Kōnosuke Uda'],15.5,5,24.0,2262.0,7.7
82,"['October 7, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Kenji Yokoyama'],['Harume Kosaka'],13.5,2,36.0,2238.0,7.69
83,"['October 7, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Masayuki Takagi'],['Hidehiko Kadota'],13.5,2,27.0,2813.0,8.2
84,"['October 21, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Kazuya Hisada'],['Daisuke Nishio'],14.5,6,22.0,2424.0,8.12
85,"['October 28, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Noboru Koizumi'],['Yoshihiro Ueda'],15.2,5,17.0,3243.0,8.56
86,"['November 4, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Eisaku Inoue'],['Kōnosuke Uda'],16.0,6,43.0,6136.0,9.4
87,"['November 11, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Takeo Ide'],['Junji Shimizu'],14.8,6,29.0,2646.0,8.2
88,"['November 18, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Hideaki Naniwa'],['Hidehiko Kadota'],15.3,5,23.0,2308.0,7.97
89,"['November 25, 2001']",['Michiru Shimada'],['Tomoko Yoshida'],['Kenji Yokoyama'],['Junichi Fujise'],15.8,4,36.0,2319.0,7.99
90,"['December 2, 2001']",['Michiru Shimada'],['Kunihiro Chida'],['Masayuki Takagi'],['Munehisa Sakai'],15.6,3,26.0,4470.0,8.92
91,"['December 9, 2001']",['Michiru Shimada'],['Yuri Sanami'],['Kazuya Hisada'],['Harume Kosaka'],16.3,3,25.0,2509.0,8.1
92,"['December 9, 2001']",['Junki Takegami'],['Fumihiro Uchikawa'],['Noboru Koizumi'],['Yuji Endo'],16.3,3,36.0,2301.0,7.8
93,"['December 16, 2001']",['Junki Takegami'],['Tomoko Yoshida'],['Eisaku Inoue'],['Kōnosuke Uda'],14.3,4,1.0,2239.0,7.46
94,"['December 23, 2001']",['Michiru Shimada'],['Miyuki Sato'],['Takeo Ide'],['Junji Shimizu'],14.0,4,14.0,4643.0,8.91
95,"['January 6, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Hideaki Naniwa'],['Hidehiko Kadota'],19.1,1,2.0,2626.0,8.36
96,"['January 13, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Makoto Suwada']",['Kenji Yokoyama'],['Yoko Ikeda'],15.6,3,17.0,2213.0,7.5
97,"['January 20, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kazuya Hisada'],['Harume Kosaka'],14.6,4,12.0,2155.0,7.41
98,"['January 27, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Daisuke Nishio'],15.7,6,1.0,2046.0,7.08
99,"['February 3, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Makoto Suwada']",['Eisaku Inoue'],['Munehisa Sakai'],16.7,5,0.0,2003.0,7.08
100,"['February 10, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Takeo Ide'],['Yuji Endo'],13.6,5,23.0,3414.0,7.68
101,"['February 17, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Hidehiko Kadota'],13.9,7,1.0,2289.0,7.08
102,"['February 24, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Makoto Suwada']",['Hideaki Naniwa'],['Kōnosuke Uda'],16.4,3,0.0,2136.0,7.35
103,"['March 3, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Masayuki Takagi'],['Harume Kosaka'],15.2,2,16.0,2328.0,7.56
104,"['March 10, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Eisaku Inoue'],['Ken Koyama'],13.8,8,31.0,2429.0,8.03
105,"['March 17, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Makoto Suwada']","['Naoki Tate', 'Masahiro Shimanuki']",['Yuji Endo'],14.3,5,34.0,2262.0,7.9
106,"['March 24, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Takeo Ide'],['Hidehiko Kadota'],14.2,6,34.0,2326.0,8.13
107,"['April 14, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kenji Yokoyama'],['Kōnosuke Uda'],14.3,4,32.0,2496.0,8.13
108,"['April 21, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Makoto Suwada']",['Hideaki Naniwa'],['Harume Kosaka'],14.6,5,35.0,2417.0,8.26
109,"['April 28, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Masayuki Takagi'],['Daisuke Nishio'],14.4,5,29.0,2923.0,8.4
110,"['May 5, 2002']",['Junki Takegami'],['Yuri Sanami'],['Eisaku Inoue'],['Yuji Endo'],11.4,4,38.0,5245.0,9.06
111,"['May 12, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Natsuko Makiyo'],['Junichi Fujise'],13.7,6,32.0,2447.0,8.0
112,"['May 19, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']","['Naoki Tate', 'Masahiro Shimanuki']",['Munehisa Sakai'],14.4,4,34.0,2550.0,8.13
113,"['June 2, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Hidehiko Kadota'],13.4,3,28.0,2132.0,7.87
114,"['June 9, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Noboru Koizumi'],['Kōji Tanaka'],16.0,3,24.0,2171.0,7.89
115,"['June 16, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Harume Kosaka'],11.3,6,31.0,2397.0,8.05
116,"['June 23, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Kunihiro Chida']",['Kenji Yokoyama'],['Ken Koyama'],13.6,3,40.0,2036.0,8.02
117,"['June 30, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Hideaki Naniwa'],['Yoko Ikeda'],11.7,6,29.0,2035.0,7.93
118,"['July 14, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Yuji Endo'],14.1,3,23.0,1926.0,7.85
119,"['July 21, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Toshiaki Marumori']",['Eisaku Inoue'],['Munehisa Sakai'],12.6,5,35.0,4924.0,9.18
120,"['August 4, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Hidehiko Kadota'],13.3,4,34.0,2080.0,8.04
121,"['August 11, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Natsuko Makiyo'],['Harume Kosaka'],11.2,7,33.0,2479.0,8.45
122,"['August 18, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Toshiaki Marumori']",['Takeo Ide'],['Junichi Fujise'],12.9,3,33.0,3364.0,8.8
123,"['August 25, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kenji Yokoyama'],['Junji Shimizu'],12.4,6,34.0,2077.0,8.29
124,"['September 1, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takayuki Shimura'],['Yuji Endo'],11.5,8,34.0,1989.0,8.17
125,"['September 8, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Toshiaki Marumori']",['Hideaki Naniwa'],['Hidehiko Kadota'],13.4,3,37.0,4069.0,9.02
126,"['September 15, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Kunihiro Chida']",['Eisaku Inoue'],['Munehisa Sakai'],13.2,5,35.0,7287.0,9.49
127,"['October 6, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Harume Kosaka'],14.1,3,34.0,2092.0,8.38
128,"['October 6, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Toshiaki Marumori']",['Noboru Koizumi'],['Junji Shimizu'],14.1,3,38.0,2067.0,8.18
129,"['October 20, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kazuya Hisada'],['Daisuke Nishio'],12.6,5,34.0,4814.0,9.22
130,"['October 27, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takayuki Shimura'],['Yoko Ikeda'],13.8,3,28.0,3213.0,8.67
131,"['November 3, 2002']",['Michiru Shimada'],"['Miyuki Sato', 'Toshiaki Marumori']",['Kenji Yokoyama'],['Yuji Endo'],11.6,8,0.0,1646.0,7.31
132,"['November 10, 2002']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Kunihiro Chida']",['Takeo Ide'],['Harume Kosaka'],13.5,5,0.0,1561.0,6.81
133,"['November 17, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Hidehiko Kadota'],14.2,4,0.0,1541.0,7.0
134,"['November 24, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Toshiaki Marumori']",['Hideaki Naniwa'],['Munehisa Sakai'],12.8,4,0.0,1535.0,7.03
135,"['December 1, 2002']",['Junki Takegami'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Naoki Tate'],['Junji Shimizu'],11.8,8,0.0,1533.0,7.11
136,"['December 8, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kazuya Hisada'],['Junichi Fujise'],13.8,4,0.0,1499.0,6.78
137,"['December 15, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Hiromitsu Shiozaki']",['Kenji Yokoyama'],['Yuji Endo'],12.4,5,0.0,1462.0,6.84
138,"['December 22, 2002']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Takeo Ide'],['Yoko Ikeda'],12.1,4,0.0,1469.0,6.8
139,"['January 5, 2003']",['Ryōta Yamaguchi'],['Tomoko Yoshida'],['Masayuki Takagi'],['Hidehiko Kadota'],16.2,1,0.0,1443.0,6.92
140,"['January 12, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Hideaki Naniwa'],['Munehisa Sakai'],10.7,4,0.0,1476.0,6.97
141,"['January 19, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Naoki Tate'],['Ken Koyama'],13.3,5,0.0,1405.0,6.83
142,"['January 26, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Makoto Suwada']",['Kazuya Hisada'],['Yuji Endo'],14.0,5,0.0,1417.0,6.78
143,"['February 2, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Toshiaki Marumori']",['Kenji Yokoyama'],['Junichi Fujise'],14.3,5,3.0,1504.0,7.51
144,"['February 9, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Takeo Ide'],['Hidehiko Kadota'],13.9,4,36.0,1859.0,7.45
145,"['February 16, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Masayuki Takagi'],['Hiroyuki Kakudō'],13.6,4,28.0,1885.0,7.7
146,"['February 23, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Toshiaki Marumori']",['Hideaki Naniwa'],['Yoko Ikeda'],19.1,1,45.0,2078.0,8.21
147,"['March 9, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Naoki Tate'],['Junichi Fujise'],13.8,5,33.0,1920.0,7.85
148,"['March 16, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Junji Shimizu'],11.9,7,34.0,1775.0,7.73
149,"['March 23, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Yūki Kinoshita'],['Yuji Endo'],14.1,4,17.0,1715.0,7.6
150,"['April 13, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Kenji Yokoyama'],['Hidehiko Kadota'],13.4,6,25.0,2050.0,8.26
151,"['April 20, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Masayuki Takagi'],['Ken Koyama'],14.2,5,29.0,5668.0,9.33
152,"['April 27, 2003']",['Michiru Shimada'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Hideaki Naniwa'],['Hiroyuki Kakudō'],13.9,5,17.0,2118.0,8.5
153,"['May 4, 2003']",['Michiru Shimada'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Junji Shimizu'],12.1,4,33.0,1772.0,7.92
154,"['May 11, 2003']",['Ryōta Yamaguchi'],"['Miyuki Sato', 'Kunihiro Chida']",['Kazuya Hisada'],['Yoko Ikeda'],12.6,5,31.0,1742.0,7.67
155,"['May 18, 2003']",['Michiru Shimada'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Yūki Kinoshita'],['Hidehiko Kadota'],13.6,6,18.0,1740.0,7.65
156,"['June 8, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Fumihiro Uchikawa']",['Kenji Yokoyama'],['Junichi Fujise'],12.8,4,13.0,1693.0,7.71
157,"['June 15, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Masayuki Takagi'],['Ken Koyama'],11.9,6,15.0,1661.0,7.54
158,"['June 22, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Hideaki Naniwa'],['Hiroyuki Kakudō'],12.9,6,17.0,1697.0,7.78
159,"['July 6, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kunihiro Chida']",['Takeo Ide'],['Junji Shimizu'],12.4,7,15.0,1688.0,7.76
160,"['July 13, 2003']",['Yoshiyuki Suga'],"['Miyuki Sato', 'Kumiko Fukuzawa']",['Naoki Tate'],['Hidehiko Kadota'],12.6,6,18.0,1720.0,7.69
161,"['July 20, 2003']",['Junki Takegami'],"['Miyuki Sato', 'Michiyo Kawasaki']",['Kazuya Hisada'],['Katsumi Tokoro'],10.1,8,12.0,1667.0,7.5
